frame,landmark,x,y,z,visibility
9,16,0.558383,0.856223,-0.372925,0.964673
9,17,0.854353,0.877610,-0.456065,0.905376
9,18,0.536536,0.871793,-0.401230,0.874318
9,19,0.836827,0.880313,-0.470361,0.934575
9,20,0.558180,0.876523,-0.419680,0.909653
9,21,0.824531,0.874389,-0.430108,0.921933
9,22,0.568148,0.872799,-0.382047,0.899751
9,23,0.736786,0.661977,-0.012873,0.999460
9,24,0.658734,0.668269,0.012807,0.999214
9,25,0.737064,0.719528,0.297262,0.515665
9,26,0.675693,0.734104,0.323159,0.524232
9,27,0.727030,0.718096,0.611828,0.332383
9,28,0.688225,0.732701,0.636112,0.324777
9,29,0.725908,0.704577,0.643686,0.147139
9,30,0.690101,0.712692,0.668486,0.141189
9,31,0.726006,0.795115,0.598258,0.489724
9,32,0.695664,0.807027,0.622663,0.475769
10,0,0.672629,0.574026,-0.629978,0.999974
10,1,0.682067,0.544501,-0.634477,0.999971
10,2,0.690923,0.539071,-0.634594,0.999971
10,3,0.698390,0.533246,-0.634731,0.999976
10,4,0.660471,0.544744,-0.631230,0.999962
10,5,0.653971,0.539872,-0.631326,0.999949
10,6,0.647195,0.533937,-0.631434,0.999955
10,7,0.711217,0.496589,-0.570144,0.999975
10,8,0.637620,0.502648,-0.552040,0.999932
10,9,0.688496,0.578772,-0.587490,0.999955
10,10,0.664519,0.581908,-0.582802,0.999957
10,11,0.774434,0.519681,-0.436268,0.999913
10,12,0.596536,0.534480,-0.413425,0.999604
10,13,0.820203,0.668214,-0.382738,0.993753
10,14,0.561033,0.664001,-0.328946,0.984844
10,15,0.832574,0.856147,-0.410264,0.974144
10,16,0.558455,0.856293,-0.370064,0.966219
10,17,0.854046,0.877703,-0.443215,0.905534
10,18,0.536694,0.871799,-0.398546,0.880185
10,19,0.836752,0.880536,-0.460684,0.934748
10,20,0.557922,0.876920,-0.418159,0.914186
10,21,0.824416,0.874606,-0.418760,0.921685
10,22,0.568037,0.873595,-0.379190,0.904293
10,23,0.738655,0.681674,-0.014141,0.999422
10,24,0.659616,0.686752,0.014074,0.999189
10,25,0.737787,0.735890,0.301020,0.492503
10,26,0.675236,0.754039,0.330271,0.499255
10,27,0.730148,0.730990,0.626584,0.309871
10,28,0.688322,0.745036,0.645455,0.302586
