frame,landmark,x,y,z,visibility
8,17,0.511111,0.580573,0.086523,0.353337
8,18,0.408729,0.570624,-0.362491,0.984708
8,19,0.513591,0.580494,0.050810,0.371072
8,20,0.416106,0.574674,-0.361597,0.984968
8,21,0.511534,0.569014,0.067640,0.360142
8,22,0.421226,0.564138,-0.329400,0.976147
8,23,0.494046,0.547652,0.092563,0.999176
8,24,0.456269,0.527940,-0.092592,0.999470
8,25,0.443167,0.730039,-0.076510,0.925863
8,26,0.413125,0.747534,-0.115150,0.974664
8,27,0.321475,0.838780,0.031244,0.895371
8,28,0.296491,0.852138,0.026786,0.973068
8,29,0.294834,0.825825,0.038974,0.869972
8,30,0.274573,0.839518,0.036788,0.915927
8,31,0.288673,0.928540,-0.047025,0.933956
8,32,0.271087,0.953668,-0.058812,0.972637
9,0,0.577396,0.191901,-0.154253,0.999941
9,1,0.582020,0.171653,-0.133341,0.999841
9,2,0.581636,0.171215,-0.133292,0.999791
9,3,0.581016,0.170402,-0.133229,0.999820
9,4,0.578946,0.167278,-0.172813,0.999931
9,5,0.576618,0.163675,-0.172862,0.999936
9,6,0.574097,0.159710,-0.172937,0.999945
9,7,0.564793,0.159509,-0.026933,0.999517
9,8,0.557437,0.147882,-0.206528,0.999946
9,9,0.566554,0.207061,-0.109807,0.999858
9,10,0.563098,0.201787,-0.161929,0.999942
9,11,0.537160,0.255225,0.094841,0.999718
9,12,0.475228,0.207475,-0.252131,0.999987
9,13,0.508656,0.405706,0.166047,0.117565
9,14,0.434310,0.371097,-0.301463,0.997439
9,15,0.512649,0.543908,0.092237,0.336154
9,16,0.416769,0.533221,-0.330046,0.992119
9,17,0.512469,0.580932,0.092405,0.352826
9,18,0.408497,0.571156,-0.361339,0.985112
9,19,0.514765,0.580686,0.055831,0.370724
9,20,0.416150,0.575324,-0.360747,0.985394
9,21,0.513297,0.569017,0.074107,0.359499
9,22,0.421270,0.564467,-0.327597,0.976609
9,23,0.493637,0.551378,0.092514,0.999211
9,24,0.456039,0.530046,-0.092540,0.999473
9,25,0.441915,0.732485,-0.084902,0.924398
9,26,0.412197,0.747923,-0.118825,0.974461
9,27,0.320179,0.839287,0.032432,0.893247
9,28,0.294805,0.852252,0.026636,0.971659
